Serial Number,MQ6,Gas
115,408,NoGas
116,408,NoGas
117,408,NoGas
118,407,NoGas
119,407,NoGas
120,405,NoGas
121,405,NoGas
122,403,NoGas
123,403,NoGas
124,403,NoGas
125,402,NoGas
126,401,NoGas
127,400,NoGas
128,400,NoGas
129,399,NoGas
130,399,NoGas
131,398,NoGas
132,398,NoGas
133,397,NoGas
134,397,NoGas
135,396,NoGas
136,440,NoGas
137,437,NoGas
138,435,NoGas
139,434,NoGas
140,432,NoGas
141,430,NoGas
142,429,NoGas
143,427,NoGas
144,426,NoGas
145,426,NoGas
146,425,NoGas
147,424,NoGas
148,424,NoGas
149,424,NoGas
150,424,NoGas
151,422,NoGas
152,422,NoGas
153,421,NoGas
154,420,NoGas
155,419,NoGas
156,417,NoGas
157,416,NoGas
158,415,NoGas
159,415,NoGas
160,413,NoGas
161,411,NoGas
162,410,NoGas
163,411,NoGas
164,414,NoGas
165,415,NoGas
166,415,NoGas
167,414,NoGas
168,414,NoGas
169,413,NoGas
170,413,NoGas
171,411,NoGas
172,409,NoGas
173,409,NoGas
174,408,NoGas
175,407,NoGas
176,406,NoGas
177,405,NoGas
178,404,NoGas
179,403,NoGas
180,402,NoGas
181,401,NoGas
182,401,NoGas
183,400,NoGas
184,401,NoGas
185,400,NoGas
186,398,NoGas
187,397,NoGas
188,438,NoGas
189,456,NoGas
190,456,NoGas
191,431,NoGas
192,431,NoGas
193,429,NoGas
194,428,NoGas
195,427,NoGas
196,425,NoGas
197,425,NoGas
198,424,NoGas
199,422,NoGas
200,421,NoGas
201,421,NoGas
202,418,NoGas
203,418,NoGas
204,416,NoGas
205,415,NoGas
206,413,NoGas
207,414,NoGas
208,412,NoGas
209,412,NoGas
210,411,NoGas
211,410,NoGas
212,409,NoGas
213,409,NoGas
214,407,NoGas
215,408,NoGas
216,406,NoGas
217,404,NoGas
218,404,NoGas
219,403,NoGas
220,404,NoGas
221,402,NoGas
222,401,NoGas
223,401,NoGas
224,400,NoGas
225,455,NoGas
226,461,NoGas
227,461,NoGas
228,457,NoGas
229,453,NoGas
230,452,NoGas
231,450,NoGas
232,448,NoGas
233,447,NoGas
234,446,NoGas
235,445,NoGas
236,444,NoGas
237,443,NoGas
238,439,NoGas
239,438,NoGas
240,437,NoGas
241,438,NoGas
242,437,NoGas
243,434,NoGas
244,431,NoGas
245,429,NoGas
246,429,NoGas
247,428,NoGas
248,425,NoGas
249,424,NoGas
250,424,NoGas
251,422,NoGas
252,423,NoGas
253,421,NoGas
254,419,NoGas
255,417,NoGas
256,416,NoGas
257,409,NoGas
258,415,NoGas
259,412,NoGas
260,414,NoGas
261,412,NoGas
262,410,NoGas
263,410,NoGas
264,408,NoGas
265,408,NoGas
266,407,NoGas
267,406,NoGas
268,405,NoGas
269,403,NoGas
270,405,NoGas
271,403,NoGas
272,402,NoGas
273,402,NoGas
274,402,NoGas
275,399,NoGas
276,401,NoGas
277,448,NoGas
278,460,NoGas
279,466,NoGas
280,468,NoGas
281,469,NoGas
282,475,NoGas
283,470,NoGas
284,467,NoGas
285,464,NoGas
286,462,NoGas
287,459,NoGas
288,456,NoGas
289,454,NoGas
290,451,NoGas
291,448,NoGas
292,449,NoGas
293,448,NoGas
294,445,NoGas
295,445,NoGas
296,443,NoGas
297,441,NoGas
298,441,NoGas
299,439,NoGas
300,437,NoGas
301,436,NoGas
302,436,NoGas
303,432,NoGas
304,433,NoGas
305,431,NoGas
306,429,NoGas
307,429,NoGas
308,427,NoGas
309,427,NoGas
310,425,NoGas
311,425,NoGas
312,424,NoGas
313,424,NoGas
314,422,NoGas
315,422,NoGas
316,420,NoGas
317,419,NoGas
318,419,NoGas
319,418,NoGas
320,417,NoGas
321,416,NoGas
322,417,NoGas
323,417,NoGas
324,416,NoGas
325,417,NoGas
326,417,NoGas
327,415,NoGas
328,415,NoGas
329,416,NoGas
330,414,NoGas
331,413,NoGas
332,413,NoGas
333,411,NoGas
334,410,NoGas
335,409,NoGas
336,408,NoGas
337,408,NoGas
338,406,NoGas
339,404,NoGas
340,403,NoGas
341,403,NoGas
342,402,NoGas
343,401,NoGas
344,474,NoGas
345,470,NoGas
346,468,NoGas
347,467,NoGas
348,466,NoGas
349,466,NoGas
350,464,NoGas
351,460,NoGas
352,457,NoGas
353,455,NoGas
354,452,NoGas
355,450,NoGas
356,449,NoGas
357,448,NoGas
358,445,NoGas
359,446,NoGas
360,448,NoGas
361,448,NoGas
362,447,NoGas
363,443,NoGas
364,440,NoGas
365,437,NoGas
366,436,NoGas
367,434,NoGas
368,433,NoGas
369,431,NoGas
370,430,NoGas
371,428,NoGas
372,427,NoGas
373,425,NoGas
374,424,NoGas
375,423,NoGas
376,423,NoGas
377,422,NoGas
378,421,NoGas
379,420,NoGas
380,419,NoGas
381,417,NoGas
382,417,NoGas
383,416,NoGas
384,416,NoGas
385,416,NoGas
386,414,NoGas
387,412,NoGas
388,411,NoGas
389,411,NoGas
390,414,NoGas
391,409,NoGas
392,408,NoGas
393,406,NoGas
394,406,NoGas
395,406,NoGas
396,406,NoGas
397,404,NoGas
398,403,NoGas
399,402,NoGas
400,401,NoGas
401,402,NoGas
402,401,NoGas
403,400,NoGas
404,400,NoGas
405,399,NoGas
406,398,NoGas
407,398,NoGas
408,397,NoGas
409,396,NoGas
410,397,NoGas
411,411,NoGas
412,422,NoGas
413,423,NoGas
414,436,NoGas
415,467,NoGas
416,461,NoGas
417,458,NoGas
418,454,NoGas
419,451,NoGas
420,449,NoGas
421,447,NoGas
422,445,NoGas
423,441,NoGas
424,440,NoGas
425,438,NoGas
426,437,NoGas
427,434,NoGas
428,433,NoGas
429,431,NoGas
430,430,NoGas
431,429,NoGas
432,426,NoGas
433,426,NoGas
434,426,NoGas
435,424,NoGas
436,423,NoGas
437,420,NoGas
438,421,NoGas
439,419,NoGas
440,418,NoGas
441,416,NoGas
442,415,NoGas
443,415,NoGas
444,413,NoGas
445,412,NoGas
446,412,NoGas
447,410,NoGas
448,410,NoGas
449,410,NoGas
450,408,NoGas
451,407,NoGas
452,407,NoGas
453,407,NoGas
454,405,NoGas
455,406,NoGas
456,405,NoGas
457,404,NoGas
458,405,NoGas
459,405,NoGas
460,404,NoGas
461,404,NoGas
462,405,NoGas
463,404,NoGas
464,404,NoGas
465,403,NoGas
466,402,NoGas
467,404,NoGas
468,402,NoGas
469,403,NoGas
470,401,NoGas
471,401,NoGas
472,398,NoGas
473,398,NoGas
474,416,NoGas
475,432,NoGas
476,439,NoGas
477,444,NoGas
478,474,NoGas
479,471,NoGas
480,465,NoGas
481,460,NoGas
482,457,NoGas
483,454,NoGas
484,451,NoGas
485,448,NoGas
486,445,NoGas
487,444,NoGas
488,443,NoGas
489,441,NoGas
490,438,NoGas
491,435,NoGas
492,434,NoGas
493,433,NoGas
494,431,NoGas
495,429,NoGas
496,428,NoGas
497,427,NoGas
498,425,NoGas
499,424,NoGas
500,423,NoGas
501,421,NoGas
502,421,NoGas
503,419,NoGas
504,418,NoGas
505,418,NoGas
506,416,NoGas
507,416,NoGas
508,414,NoGas
509,412,NoGas
510,411,NoGas
511,411,NoGas
512,409,NoGas
513,408,NoGas
514,408,NoGas
515,407,NoGas
516,406,NoGas
517,405,NoGas
518,404,NoGas
519,403,NoGas
520,403,NoGas
521,403,NoGas
522,403,NoGas
523,402,NoGas
524,400,NoGas
525,400,NoGas
526,399,NoGas
527,399,NoGas
528,397,NoGas
529,396,NoGas
530,396,NoGas
531,396,NoGas
532,394,NoGas
533,394,NoGas
534,393,NoGas
535,392,NoGas
536,391,NoGas
537,390,NoGas
538,389,NoGas
539,390,NoGas
540,388,NoGas
541,388,NoGas
542,388,NoGas
543,388,NoGas
544,387,NoGas
545,387,NoGas
546,425,NoGas
547,442,NoGas
548,448,NoGas
549,449,NoGas
550,453,NoGas
551,464,NoGas
552,472,NoGas
553,495,NoGas
554,489,NoGas
555,485,NoGas
556,482,NoGas
557,478,NoGas
558,474,NoGas
559,471,NoGas
560,467,NoGas
561,466,NoGas
562,463,NoGas
563,461,NoGas
564,459,NoGas
565,457,NoGas
566,454,NoGas
567,451,NoGas
568,449,NoGas
569,446,NoGas
570,445,NoGas
571,441,NoGas
572,439,NoGas
573,437,NoGas
574,435,NoGas
575,436,NoGas
576,434,NoGas
577,433,NoGas
578,430,NoGas
579,428,NoGas
580,427,NoGas
581,424,NoGas
582,425,NoGas
583,425,NoGas
584,422,NoGas
585,420,NoGas
586,420,NoGas
587,419,NoGas
588,417,NoGas
589,416,NoGas
590,415,NoGas
591,416,NoGas
592,413,NoGas
593,412,NoGas
594,412,NoGas
595,410,NoGas
596,410,NoGas
597,410,NoGas
598,409,NoGas
599,409,NoGas
600,407,NoGas
601,408,NoGas
602,407,NoGas
603,406,NoGas
604,405,NoGas
605,403,NoGas
606,403,NoGas
607,402,NoGas
608,400,NoGas
609,399,NoGas
610,400,NoGas
611,399,NoGas
612,398,NoGas
613,397,NoGas
614,397,NoGas
615,395,NoGas
616,395,NoGas
617,394,NoGas
618,395,NoGas
619,410,NoGas
620,439,NoGas
621,449,NoGas
622,455,NoGas
623,460,NoGas
624,449,NoGas
625,446,NoGas
626,443,NoGas
627,441,NoGas
628,439,NoGas
629,437,NoGas
630,435,NoGas
631,433,NoGas
632,432,NoGas
633,431,NoGas
634,428,NoGas
635,427,NoGas
636,426,NoGas
637,423,NoGas
638,423,NoGas
639,419,NoGas
640,419,NoGas
641,417,NoGas
642,418,NoGas
643,415,NoGas
644,414,NoGas
645,414,NoGas
646,412,NoGas
647,410,NoGas
648,409,NoGas
649,410,NoGas
650,408,NoGas
651,407,NoGas
652,406,NoGas
653,406,NoGas
654,405,NoGas
655,405,NoGas
656,403,NoGas
657,402,NoGas
658,403,NoGas
659,400,NoGas
660,400,NoGas
661,399,NoGas
662,398,NoGas
663,397,NoGas
664,396,NoGas
665,396,NoGas
666,395,NoGas
667,395,NoGas
668,394,NoGas
669,393,NoGas
670,393,NoGas
671,392,NoGas
672,391,NoGas
673,391,NoGas
674,389,NoGas
675,388,NoGas
676,387,NoGas
677,387,NoGas
678,387,NoGas
679,387,NoGas
680,382,NoGas
681,382,NoGas
682,385,NoGas
683,384,NoGas
684,385,NoGas
685,385,NoGas
686,404,NoGas
687,414,NoGas
688,424,NoGas
689,430,NoGas
690,428,NoGas
691,439,NoGas
692,450,NoGas
693,453,NoGas
694,451,NoGas
695,451,NoGas
696,448,NoGas
697,442,NoGas
698,455,NoGas
699,466,NoGas
700,467,NoGas
701,471,NoGas
702,477,NoGas
703,482,NoGas
704,477,NoGas
705,472,NoGas
706,467,NoGas
707,463,NoGas
708,459,NoGas
709,457,NoGas
710,454,NoGas
711,452,NoGas
712,451,NoGas
713,448,NoGas
714,446,NoGas
715,443,NoGas
716,443,NoGas
717,439,NoGas
718,436,NoGas
719,435,NoGas
720,434,NoGas
721,433,NoGas
722,433,NoGas
723,431,NoGas
724,430,NoGas
725,428,NoGas
726,426,NoGas
727,430,NoGas
728,423,NoGas
729,422,NoGas
730,420,NoGas
731,421,NoGas
732,419,NoGas
733,418,NoGas
734,417,NoGas
735,415,NoGas
736,415,NoGas
737,413,NoGas
738,412,NoGas
739,411,NoGas
740,410,NoGas
741,409,NoGas
742,407,NoGas
743,407,NoGas
744,406,NoGas
745,406,NoGas
746,404,NoGas
747,403,NoGas
748,402,NoGas
749,401,NoGas
750,400,NoGas
751,400,NoGas
752,399,NoGas
753,393,NoGas
754,418,NoGas
755,435,NoGas
756,443,NoGas
757,447,NoGas
758,449,NoGas
759,457,NoGas
760,464,NoGas
761,468,NoGas
762,471,NoGas
763,472,NoGas
764,473,NoGas
765,486,NoGas
766,481,NoGas
767,476,NoGas
768,473,NoGas
769,470,NoGas
770,468,NoGas
771,463,NoGas
772,460,NoGas
773,457,NoGas
774,455,NoGas
775,451,NoGas
776,452,NoGas
777,449,NoGas
778,447,NoGas
779,446,NoGas
780,443,NoGas
781,441,NoGas
782,439,NoGas
783,437,NoGas
784,436,NoGas
785,433,NoGas
786,432,NoGas
787,432,NoGas
788,429,NoGas
789,429,NoGas
790,427,NoGas
791,427,NoGas
792,425,NoGas
793,424,NoGas
794,423,NoGas
795,422,NoGas
796,421,NoGas
797,418,NoGas
798,418,NoGas
799,416,NoGas
800,415,NoGas
801,414,NoGas
802,413,NoGas
803,413,NoGas
804,411,NoGas
805,411,NoGas
806,409,NoGas
807,409,NoGas
808,410,NoGas
809,407,NoGas
810,406,NoGas
811,405,NoGas
812,404,NoGas
813,403,NoGas
814,402,NoGas
815,401,NoGas
816,402,NoGas
817,400,NoGas
818,401,NoGas
819,421,NoGas
820,438,NoGas
821,445,NoGas
822,442,NoGas
823,435,NoGas
824,436,NoGas
825,450,NoGas
826,456,NoGas
827,458,NoGas
828,461,NoGas
829,473,NoGas
830,473,NoGas
831,468,NoGas
832,466,NoGas
833,461,NoGas
834,476,NoGas
835,475,NoGas
836,472,NoGas
837,469,NoGas
838,467,NoGas
839,464,NoGas
840,462,NoGas
841,458,NoGas
842,457,NoGas
843,454,NoGas
844,451,NoGas
845,449,NoGas
846,446,NoGas
847,444,NoGas
848,442,NoGas
849,441,NoGas
850,439,NoGas
851,437,NoGas
852,435,NoGas
853,434,NoGas
854,433,NoGas
855,431,NoGas
856,429,NoGas
857,429,NoGas
858,427,NoGas
859,427,NoGas
860,427,NoGas
861,425,NoGas
862,424,NoGas
863,423,NoGas
864,423,NoGas
865,421,NoGas
866,420,NoGas
867,418,NoGas
868,418,NoGas
869,416,NoGas
870,415,NoGas
871,414,NoGas
872,413,NoGas
873,412,NoGas
874,411,NoGas
875,410,NoGas
876,409,NoGas
877,411,NoGas
878,409,NoGas
879,409,NoGas
880,409,NoGas
881,408,NoGas
882,407,NoGas
883,406,NoGas
884,405,NoGas
885,405,NoGas
886,403,NoGas
887,401,NoGas
888,402,NoGas
889,401,NoGas
890,416,NoGas
891,432,NoGas
892,440,NoGas
893,444,NoGas
894,444,NoGas
895,444,NoGas
896,452,NoGas
897,457,NoGas
898,458,NoGas
899,459,NoGas
900,460,NoGas
901,460,NoGas
902,464,NoGas
903,469,NoGas
904,474,NoGas
905,475,NoGas
906,475,NoGas
907,470,NoGas
908,464,NoGas
909,465,NoGas
910,473,NoGas
911,479,NoGas
912,482,NoGas
913,481,NoGas
914,476,NoGas
915,479,NoGas
916,468,NoGas
917,464,NoGas
918,461,NoGas
919,458,NoGas
920,455,NoGas
921,451,NoGas
922,449,NoGas
923,446,NoGas
924,444,NoGas
925,441,NoGas
926,438,NoGas
927,436,NoGas
928,433,NoGas
929,432,NoGas
930,432,NoGas
931,429,NoGas
932,427,NoGas
933,426,NoGas
934,425,NoGas
935,423,NoGas
936,422,NoGas
937,420,NoGas
938,421,NoGas
939,417,NoGas
940,416,NoGas
941,418,NoGas
942,417,NoGas
943,415,NoGas
944,413,NoGas
945,412,NoGas
946,409,NoGas
947,408,NoGas
948,410,NoGas
949,410,NoGas
950,407,NoGas
951,406,NoGas
952,405,NoGas
953,405,NoGas
954,404,NoGas
955,403,NoGas
956,402,NoGas
957,401,NoGas
958,401,NoGas
959,400,NoGas
960,399,NoGas
961,398,NoGas
962,397,NoGas
963,397,NoGas
964,395,NoGas
965,397,NoGas
966,394,NoGas
967,395,NoGas
968,393,NoGas
969,393,NoGas
970,416,NoGas
971,429,NoGas
972,447,NoGas
973,456,NoGas
974,462,NoGas
975,465,NoGas
976,465,NoGas
977,466,NoGas
978,465,NoGas
979,470,NoGas
980,475,NoGas
981,476,NoGas
982,474,NoGas
983,470,NoGas
984,466,NoGas
985,468,NoGas
986,475,NoGas
987,479,NoGas
988,475,NoGas
989,467,NoGas
990,464,NoGas
991,462,NoGas
992,465,NoGas
993,469,NoGas
994,471,NoGas
995,471,NoGas
996,470,NoGas
997,465,NoGas
998,461,NoGas
999,457,NoGas
1000,454,NoGas
1001,450,NoGas
1002,448,NoGas
1003,445,NoGas
1004,441,NoGas
1005,439,NoGas
1006,437,NoGas
1007,436,NoGas
1008,433,NoGas
1009,432,NoGas
1010,429,NoGas
1011,429,NoGas
1012,428,NoGas
1013,426,NoGas
1014,423,NoGas
1015,421,NoGas
1016,421,NoGas
1017,419,NoGas
1018,417,NoGas
1019,416,NoGas
1020,418,NoGas
1021,414,NoGas
1022,414,NoGas
1023,412,NoGas
1024,411,NoGas
1025,409,NoGas
1026,409,NoGas
1027,410,NoGas
1028,407,NoGas
1029,405,NoGas
1030,405,NoGas
1031,404,NoGas
1032,403,NoGas
1033,403,NoGas
1034,402,NoGas
1035,401,NoGas
1036,400,NoGas
1037,399,NoGas
1038,398,NoGas
1039,398,NoGas
1040,397,NoGas
1041,396,NoGas
1042,395,NoGas
1043,395,NoGas
1044,394,NoGas
1045,393,NoGas
1046,392,NoGas
1047,391,NoGas
1048,391,NoGas
1049,390,NoGas
1050,386,NoGas
1051,397,NoGas
1052,402,NoGas
1053,411,NoGas
1054,415,NoGas
1055,426,NoGas
1056,439,NoGas
1057,446,NoGas
1058,450,NoGas
1059,450,NoGas
1060,447,NoGas
1061,450,NoGas
1062,457,NoGas
1063,462,NoGas
1064,462,NoGas
1065,461,NoGas
1066,463,NoGas
1067,469,NoGas
1068,476,NoGas
1069,479,NoGas
1070,479,NoGas
1071,480,NoGas
1072,481,NoGas
1073,484,NoGas
1074,474,NoGas
1075,471,NoGas
1076,467,NoGas
1077,463,NoGas
1078,459,NoGas
1079,448,NoGas
1080,450,NoGas
1081,447,NoGas
1082,444,NoGas
1083,442,NoGas
1084,439,NoGas
1085,437,NoGas
1086,436,NoGas
1087,434,NoGas
1088,433,NoGas
1089,430,NoGas
1090,429,NoGas
1091,426,NoGas
1092,424,NoGas
1093,424,NoGas
1094,422,NoGas
1095,420,NoGas
1096,421,NoGas
1097,416,NoGas
1098,415,NoGas
1099,415,NoGas
1100,414,NoGas
1101,413,NoGas
1102,411,NoGas
1103,410,NoGas
1104,409,NoGas
1105,407,NoGas
1106,409,NoGas
1107,406,NoGas
1108,406,NoGas
1109,405,NoGas
1110,405,NoGas
1111,402,NoGas
1112,403,NoGas
1113,405,NoGas
1114,401,NoGas
1115,400,NoGas
1116,400,NoGas
1117,397,NoGas
1118,400,NoGas
1119,396,NoGas
1120,395,NoGas
1121,394,NoGas
1122,395,NoGas
1123,394,NoGas
1124,393,NoGas
1125,393,NoGas
1126,390,NoGas
1127,391,NoGas
1128,390,NoGas
1129,396,NoGas
1130,427,NoGas
1131,438,NoGas
1132,441,NoGas
1133,439,NoGas
1134,438,NoGas
1135,440,NoGas
1136,452,NoGas
1137,460,NoGas
1138,461,NoGas
1139,463,NoGas
1140,461,NoGas
1141,462,NoGas
1142,458,NoGas
1143,453,NoGas
1144,457,NoGas
1145,463,NoGas
1146,464,NoGas
1147,459,NoGas
1148,452,NoGas
1149,445,NoGas
1150,448,NoGas
1151,461,NoGas
1152,467,NoGas
1153,471,NoGas
1154,470,NoGas
1155,469,NoGas
1156,469,NoGas
1157,470,NoGas
1158,467,NoGas
1159,470,NoGas
1160,475,NoGas
1161,478,NoGas
1162,480,NoGas
1163,478,NoGas
1164,477,NoGas
1165,474,NoGas
1166,474,NoGas
1167,474,NoGas
1168,470,NoGas
1169,470,NoGas
1170,468,NoGas
1171,464,NoGas
1172,459,NoGas
1173,455,NoGas
1174,452,NoGas
1175,450,NoGas
1176,450,NoGas
1177,445,NoGas
1178,442,NoGas
1179,440,NoGas
1180,440,NoGas
1181,436,NoGas
1182,433,NoGas
1183,429,NoGas
1184,429,NoGas
1185,426,NoGas
1186,425,NoGas
1187,422,NoGas
1188,421,NoGas
1189,420,NoGas
1190,420,NoGas
1191,420,NoGas
1192,419,NoGas
1193,418,NoGas
1194,417,NoGas
1195,416,NoGas
1196,416,NoGas
1197,413,NoGas
1198,414,NoGas
1199,413,NoGas
1200,410,NoGas
1201,411,NoGas
1202,410,NoGas
1203,408,NoGas
1204,406,NoGas
1205,404,NoGas
1206,403,NoGas
1207,403,NoGas
1208,401,NoGas
1209,401,NoGas
1210,400,NoGas
1211,397,NoGas
1212,397,NoGas
1213,397,NoGas
1214,395,NoGas
1215,395,NoGas
1216,393,NoGas
1217,393,NoGas
1218,393,NoGas
1219,392,NoGas
1220,390,NoGas
1221,391,NoGas
1222,389,NoGas
1223,374,NoGas
1224,383,NoGas
1225,387,NoGas
1226,387,NoGas
1227,391,NoGas
1228,410,NoGas
1229,430,NoGas
1230,444,NoGas
1231,451,NoGas
1232,456,NoGas
1233,458,NoGas
1234,465,NoGas
1235,468,NoGas
1236,470,NoGas
1237,471,NoGas
1238,470,NoGas
1239,470,NoGas
1240,471,NoGas
1241,479,NoGas
1242,482,NoGas
1243,484,NoGas
1244,486,NoGas
1245,493,NoGas
1246,485,NoGas
1247,481,NoGas
1248,474,NoGas
1249,470,NoGas
1250,465,NoGas
1251,463,NoGas
1252,459,NoGas
1253,455,NoGas
1254,450,NoGas
1255,448,NoGas
1256,446,NoGas
1257,445,NoGas
1258,443,NoGas
1259,438,NoGas
1260,437,NoGas
1261,435,NoGas
1262,432,NoGas
1263,431,NoGas
1264,429,NoGas
1265,426,NoGas
1266,427,NoGas
1267,425,NoGas
1268,422,NoGas
1269,420,NoGas
1270,420,NoGas
1271,418,NoGas
1272,416,NoGas
1273,415,NoGas
1274,414,NoGas
1275,412,NoGas
1276,412,NoGas
1277,410,NoGas
1278,409,NoGas
1279,408,NoGas
1280,407,NoGas
1281,406,NoGas
1282,404,NoGas
1283,403,NoGas
1284,403,NoGas
1285,402,NoGas
1286,401,NoGas
1287,400,NoGas
1288,400,NoGas
1289,399,NoGas
1290,398,NoGas
1291,397,NoGas
1292,397,NoGas
1293,397,NoGas
1294,395,NoGas
1295,396,NoGas
1296,394,NoGas
1297,392,NoGas
1298,392,NoGas
1299,391,NoGas
1300,390,NoGas
1301,390,NoGas
1302,390,NoGas
1303,384,NoGas
1304,416,NoGas
1305,429,NoGas
1306,433,NoGas
1307,442,NoGas
1308,441,NoGas
1309,440,NoGas
1310,442,NoGas
1311,446,NoGas
1312,445,NoGas
1313,443,NoGas
1314,440,NoGas
1315,435,NoGas
1316,454,NoGas
1317,467,NoGas
1318,471,NoGas
1319,468,NoGas
1320,465,NoGas
1321,464,NoGas
1322,464,NoGas
1323,462,NoGas
1324,457,NoGas
1325,457,NoGas
1326,470,NoGas
1327,476,NoGas
1328,478,NoGas
1329,476,NoGas
1330,473,NoGas
1331,471,NoGas
1332,471,NoGas
1333,478,NoGas
1334,476,NoGas
1335,471,NoGas
1336,469,NoGas
1337,467,NoGas
1338,465,NoGas
1339,461,NoGas
1340,457,NoGas
1341,452,NoGas
1342,448,NoGas
1343,446,NoGas
1344,444,NoGas
1345,440,NoGas
1346,437,NoGas
1347,435,NoGas
1348,431,NoGas
1349,429,NoGas
1350,428,NoGas
1351,425,NoGas
1352,423,NoGas
1353,425,NoGas
1354,423,NoGas
1355,421,NoGas
1356,419,NoGas
1357,418,NoGas
1358,416,NoGas
1359,416,NoGas
1360,413,NoGas
1361,416,NoGas
1362,411,NoGas
1363,411,NoGas
1364,407,NoGas
1365,407,NoGas
1366,404,NoGas
1367,405,NoGas
1368,403,NoGas
1369,401,NoGas
1370,403,NoGas
1371,402,NoGas
1372,401,NoGas
1373,399,NoGas
1374,398,NoGas
1375,398,NoGas
1376,396,NoGas
1377,397,NoGas
1378,396,NoGas
1379,396,NoGas
1380,394,NoGas
1381,393,NoGas
1382,393,NoGas
1383,391,NoGas
1384,390,NoGas
1385,390,NoGas
1386,388,NoGas
1387,388,NoGas
1388,388,NoGas
1389,387,NoGas
1390,386,NoGas
1391,386,NoGas
1392,397,NoGas
1393,422,NoGas
1394,433,NoGas
1395,435,NoGas
1396,450,NoGas
1397,452,NoGas
1398,455,NoGas
1399,453,NoGas
1400,453,NoGas
1401,461,NoGas
1402,465,NoGas
1403,464,NoGas
1404,465,NoGas
1405,466,NoGas
1406,465,NoGas
1407,473,NoGas
1408,483,NoGas
1409,487,NoGas
1410,489,NoGas
1411,490,NoGas
1412,487,NoGas
1413,484,NoGas
1414,482,NoGas
1415,483,NoGas
1416,478,NoGas
1417,475,NoGas
1418,470,NoGas
1419,465,NoGas
1420,459,NoGas
1421,455,NoGas
1422,453,NoGas
1423,452,NoGas
1424,448,NoGas
1425,447,NoGas
1426,446,NoGas
1427,442,NoGas
1428,440,NoGas
1429,437,NoGas
1430,435,NoGas
1431,434,NoGas
1432,431,NoGas
1433,429,NoGas
1434,427,NoGas
1435,424,NoGas
1436,423,NoGas
1437,423,NoGas
1438,421,NoGas
1439,421,NoGas
1440,418,NoGas
1441,417,NoGas
1442,416,NoGas
1443,416,NoGas
1444,413,NoGas
1445,412,NoGas
1446,412,NoGas
1447,411,NoGas
1448,409,NoGas
1449,408,NoGas
1450,407,NoGas
1451,406,NoGas
1452,404,NoGas
1453,403,NoGas
1454,403,NoGas
1455,402,NoGas
1456,402,NoGas
1457,400,NoGas
1458,399,NoGas
1459,399,NoGas
1460,398,NoGas
1461,397,NoGas
1462,396,NoGas
1463,397,NoGas
1464,415,NoGas
1465,443,NoGas
1466,453,NoGas
1467,454,NoGas
1468,458,NoGas
1469,467,NoGas
1470,474,NoGas
1471,475,NoGas
1472,476,NoGas
1473,478,NoGas
1474,481,NoGas
1475,484,NoGas
1476,489,NoGas
1477,492,NoGas
1478,499,NoGas
1479,475,NoGas
1480,471,NoGas
1481,469,NoGas
1482,464,NoGas
1483,460,NoGas
1484,457,NoGas
1485,455,NoGas
1486,453,NoGas
1487,451,NoGas
1488,447,NoGas
1489,445,NoGas
1490,442,NoGas
1491,442,NoGas
1492,439,NoGas
1493,437,NoGas
1494,435,NoGas
1495,433,NoGas
1496,434,NoGas
